red,green,blue,r
138,114,61,2
54,148,134,1
60,101,199,0
6,140,191,0
120,118,249,5
114,101,4,2
180,231,75,2
68,240,139,3
238,68,177,4
0,218,134,3
2,248,200,1
146,205,13,2
224,33,4,7
175,45,26,7
88,128,177,0
172,172,172,6
253,5,247,5
182,182,182,6
158,54,180,5
99,99,99,6
241,15,89,4
235,76,231,5
90,237,208,1
206,231,228,6
116,154,62,3
41,195,108,3
20,209,206,1
49,196,39,3
133,34,51,7
205,29,42,7
59,165,144,1
209,4,251,5
136,114,61,2
54,128,134,1
60,121,199,0
6,110,191,0
120,138,249,5
114,111,4,2
180,236,75,2
68,245,139,3
238,64,177,4
0,218,131,3
2,248,210,1
146,205,16,2
224,33,4,7
176,45,26,7
89,128,177,0
171,172,172,6
242,242,242,8
250,5,247,5
180,182,182,6
151,54,180,5
93,99,93,6
233,49,0,9
241,16,89,4
245,79,231,5
91,237,208,1
210,232,228,6
116,155,62,3
255,156,213,4
244,132,15,9
41,196,108,3
20,209,210,1
49,199,39,3
134,34,51,7
210,29,42,7
250,250,247,8
65,165,144,1
201,4,251,5
255,133,246,4
137,114,61,2
55,128,134,1
238,238,238,8
250,202,239,4
61,121,199,0
5,110,191,0
255,132,4,9
118,136,246,5
161,1,160,4
111,114,4,2
183,233,73,2
60,242,139,3
4,8,1,10
230,60,171,4
0,218,131,3
1,249,210,1
254,174,234,4
144,201,16,2
226,36,6,7
175,45,22,7
19,19,19,10
38,84,44,3
247,249,250,8
255,205,233,4
93,128,177,0
13,7,1,10
79,126,52,3
239,202,250,4
246,135,20,9
176,172,172,6
249,202,250,4
254,5,241,5
185,182,180,6
45,103,11,3
155,54,182,5
6,7,6,10
95,99,95,6
242,19,89,4
255,255,255,8
245,79,233,5
5,4,9,10
91,237,210,1
210,232,219,6
116,155,63,3
22,22,22,10
41,199,108,3
250,247,249,8
5,3,12,10
20,202,210,1
246,255,248,8
49,201,39,3
255,248,246,8
253,53,0,9
134,36,51,7
255,134,228,4
210,30,42,7
53,92,31,3
11,8,4,10
117,184,78,3
65,165,144,1
201,4,251,5
238,255,242,8
235,235,235,8
4,7,5,10
251,82,37,9
0,0,0,10
249,114,219,4
21,21,21,10
5,21,12,10
23,77,47,3
61,149,100,3
0,175,78,3
56,179,111,3
235,164,204,4
32,175,40,3
13,95,18,3
44,101,47,3
113,230,119,3
141,250,147,3
255,235,255,8
1,82,30,3
233,20,55,7
20,20,19,10
255,0,0,7
240,20,20,7
240,132,19,9
245,147,44,9
252,175,4,9
203,145,16,9
231,112,15,9
210,99,8,9
233,118,23,9
249,138,47,9
245,138,47,9
245,155,50,9
247,225,205,8
1,71,11,3
245,12,242,4
242,113,240,4
247,160,249,4
179,211,255,0
179,183,255,0
127,134,255,0
187,213,252,0
146,180,230,0
